alpha,mu
9.005965075783406,5.9980469266600664
10.57801954505715,20.112458471220226
10.802873235978002,34.215413625739544
11.418959895525143,49.34358430851197
9.854197404072757,63.47139606755438
9.548920734298237,76.45503891398863
9.644939122000215,88.6924287277563
8.53666086536424,100.11028587442779
9.548991977017035,113.14055773950011
9.577013089478102,126.22346775320997
11.073780211367128,140.40369255604085
11.359444904281473,156.05155442834382
10.514424069271875,171.24052036919366
9.523273026823652,183.98998628460402
10.232766432179305,197.13571696221965
10.300839516160348,209.17735204181463
10.994848505194486,222.0565219140683
12.290293442887664,234.52132647273694
