text,target
@USUARIO @USUARIO @USUARIO Q se puede esperar del maricon de closet de la Yañez aun recuerdo esa ves q lo vi en zona rosa viendo quien lo levantada,1
@USUARIO La piel nueva siempre arde un poquito los primeros días... y más con este puto clima,0
Ustedes no se enamoran de mí… por tontas.,1
Me las va a pagar esa puta gorda roba tuits...,1
@USUARIO LA GENTE ES TONTA PORQUE NO SE DAN CUENTA QUE TÚ HACES A BATMAN AZUL,0
"Estoy muy encabronada con las pseudo feministas por tontas e iletradas, a veces me avergüenza ser mujer; preferiría tener un falo. #NiUnaMas",1
"Anden putos, recuerdan el #noerapenal #Holanda fuera de #Rusia2018, esto se llama #karma ehhhhhhhh #puuuuuutos",1
Si no tienen chichis no traten de enseñar se ven muy mal y más cuando son prietas.,1
Ojalá asi me agarrars cuando te digo que me voy en lugar de correrme a la verga cada 5 minutos.,0
"@USUARIO @USUARIO @USUARIO @USUARIO Es solo un HDP aprovechado y que su ""Diosito Bimbo"" me perdone",1
"La próxima vez que diga que me está gustando alguien, pártanme la madre.",0
"No estoy gorda, lo que pasa es que me sobra sensualidad y ya no me cabe en el cuerpo.",0
"Desfachatada, libre, apurada, atrevida, loca y con una chispa de fiereza en la mirada. Me enamoré en 10 minutos. Les he fallado amigos.",0
@USUARIO @USUARIO #SiLUP sacó a guardado y valió madre,0
Que nunca se pierda la bonita costumbre de ser nalga pronta. -La más putona de las putas.,0
"Como cuando das un buen consejo pero tu amigo está decidido a darse en la madre, una vez más. Es admirable.",0
"O sea qué pedo? Creo que me enfieste muy temprano apenas son las 9 y ya ando medio mal, putas lleguen ya",0
Como mandas a la verga algo de lo que dependes tanto?,0
"Con mis acciones demuestro que aun soy muy inmaduro, pero pues.. me vale verga",0
"Si las rolas de Mon laferte son feas, ahora en versión de banda son mucho peor",0
son unos putos abusivos de mierda. Iusacell NUNCA había hecho estas porquerías.,1
"#DeberíaSerIlegalQue no tengas esta lengua en tu verga, rigth now!!  Que no??",0
"Chingas a tu puta y perra madre Melitón pinche portero chiquitito, malísimo.",1
prestamela para montarla tambien mientras te mama la verga,0
Putas canciones que se convierten en la máquina del tiempo.,0
"Mamá luchona, atención a la bendición",0
@USUARIO @USUARIO el título de cruz azul? jajajajaja que cagado eres...,0
Con la inocencia de un niño y bajo la mano un puñal...,0
"#Emmys #EmmysEnTNT  @USUARIO  #StrangerThings   No porque gano esa gorda ni tiene chiste , que les pasa tienen muy mal gusto terrible...",1
"La que es payasa, cae gorda",0
"Que es un burro hijo de un camión lleno de putas. Ojo, solo contando el partido de hoy.",1
@USUARIO Gente mierda son unos racistas putos anglosajones nalgas prietas!!!,1
Vieron cuando tapan una foto con un sticker gorda ya nos dimos cuenta que la tanga se te volo y se engancho en el ropero,1
"Verga, dormí en la tarde para valer verga en la madrugada.",0
AHUEVO PUTOS COLDPLAY CERRARÁ EL CONCIERTO  #estamosunidosmexicanos,0
"De nada putos, nosotros si vamos al mundial @USUARIO",1
"si estas peda y empiezas a enviarle mensaje a tu ex, bueno, ya valiste verga charlie",0
@USUARIO @USUARIO ¿Sigue ardida por qué nunca la metieron al grupo de la Clika?:v,0
Jajajajaja gorda la que traigo entrelazada en mis piernas. Está riquísima,0
"La liguilla es otro puto torneo alv paren de mamar, así entremos de 8 tengan por seguro que EL AMÉRICA se va a romper la madre!",1
@USUARIO Que CASUALIDAD que Raul Cervantes tenga un FERRARY ?O? Sera que es un HIJO de toda su PUTA MADRE PRIISTA corrupto igual ENRRIQUE PEÑA NIETO,1
"Sigo necesitando pocos carácteres para mandarte a la verga, mi amor.",1
"Estúpidas, golfas, pirujas, ¡no tienen derechos!”, Zurita en MVS vs madres de familia | Homozapping""",0
@USUARIO @USUARIO @USUARIO Es #Ciencia #Gameto es Nuevo #ADN nueva persona diferente a madre #Aborto asesinato d #Veracruzano,0
Verga? Vagina? Van Halen? Vendetta? Viene viene? Voldemort? Vickencio? Vampiro Canadiense?,0
"Joto yo lo digo para que tenga con que comprar sus próximos materiales para los siguientes semestres, la tkm!",0
Soy mamá soltera luchona &amp; patriota! Jajaja ♥️🇲🇽🎉😍☺️ #LosAmoInfinito,0
La ventanita del amor se me cerró 🎵 Cada que escucho esa madre me dan ganas de pachanga.,0
"""VETE MUCHÍSIMO A LA VERGA, HIJO DE TU PERRA BOMBA MADRE""",1
"Wey, en TODOS LADOS está de la verga...pero sí, pinche #EstabloDeMéxico 😪😪😪",0
¡Apúntale cabrón! 📄🖋️,0
@USUARIO Estas cagado y te pueden detener...cerca de la sentencia de los narcosobrinos....creo que allá no llegas,0
"Chale, hay cosas feas de trabajar en animación de logos y que te pasen cosas así, y saber que son 80 y que no te das el lujo de corregir",0
"Esta vieja  me cae gorda por gorda, ya se shame on me",1
Contra los putos suplentes de los suplentes de ecuador cualquiera.,1
Este maldito HDP debe pagar por sus actos 😠 cuánto recibió el MP por liberarlo @USUARIO @USUARIO @USUARIO,1
!de hecho las amigas de esa golfa con las que nos llevamos!,1
"exigimos saquen del aire a agresivo, misoginoZurita MVS vs madres d familia",0
Pienso lo mismo q no te afecte ni te creas si alguien te dise gorda nena eres gupisima,0
@USUARIO Es que Facebook es el paraíso de las feas jajajaja,0
Mama luchona 💪🏻😎 #unetealafiesta #mevoyalinfierno 😈… <URL>,0
"🤣🤣🤣 mi vida, eres la mejor! Dí lo q digas y a la verga los haters heteropatriarcanormados! Block y be happy! 😘",0
"nomas estan llorando por estar mamando, creen que asi le van a echar tierra a la institucion",0
Como cuando gana el Real Madrid que todo Tlalnepantla se emociona. No mamar,0
