iterations,fx,dfx
0,0.00023330703260140287,0.013819173921890878
1,0.0002333092568061835,0.013819240604124627
2,0.000233307931546638,0.01381920087253852
3,0.00023331219771037165,0.013819328772715718
4,0.0002333017521904748,0.01381901561256576
5,0.00023330529712028208,0.013819121891503331
6,0.00023329695153113798,0.013818871684913496
7,0.0002333040089992701,0.013819083273020841
8,0.00023329915296055738,0.0138189376857285
9,0.0002333108260549587,0.013819287650421647
10,0.00023330347212636226,0.013819067177284228
11,0.00023330006603613718,0.013818965060458622
12,0.00023329897457766336,0.013818932337661743
13,0.00023331034523808454,0.013819273235481136
14,0.00023330773994912891,0.013819195128392008
15,0.00023330352750828504,0.013819068837664697
16,0.00023331402099581949,0.013819383434717036
17,0.00023330791780907682,0.013819200460682699
18,0.0002333136297365624,0.013819371704802753
19,0.00023329709182790773,0.013818875891144685
20,0.00023330145089575492,0.013819006579548692
21,0.00023330528317274453,0.013819121473350057
22,0.00023331055195034998,0.013819279432738392
23,0.0002333084762674027,0.013819217203405705
24,0.0002333048117992285,0.013819107341358812
25,0.0002333045287450366,0.013819098855259402
26,0.00023330276354053975,0.01381904593347503
27,0.0002333052981116878,0.013819121921226108
28,0.00023330514629838636,0.013819117369796317
29,0.0002333010951218708,0.01381899591320254
30,0.00023330675637124333,0.013819165640417713
31,0.00023331360512893656,0.013819370967068216
32,0.00023331145436738377,0.013819306487272464
33,0.00023329659361553658,0.013818860954256228
34,0.00023331067733496288,0.01381928319178206
35,0.00023330372791630286,0.013819074846005561
36,0.00023330619684075834,0.013819148865490773
37,0.0002333127039678214,0.013819343950308186
38,0.0002333026902464913,0.013819043736075643
39,0.00023331376182401513,0.013819375664772747
40,0.00023329692550214467,0.013818870904539274
41,0.0002332989900510601,0.013818932801567058
42,0.00023330016799223975,0.013818968117180206
43,0.00023331064442245266,0.013819282205061692
44,0.0002333042469352151,0.013819090406461822
45,0.00023330325201389128,0.013819060578189523
46,0.00023329770552952734,0.013818894290491062
47,0.00023330075189255392,0.013818985622943643
48,0.0002333033450434978,0.013819063367269407
49,0.00023330713671135302,0.013819177043140986
50,0.00023331381705906274,0.0138193773207142
51,0.0002333144935845432,0.013819397602867987
52,0.00023330022590180112,0.013818969853352658
53,0.0002333008668463361,0.01381898906934057
54,0.0002333081151416232,0.013819206376764988
55,0.00023331269654484354,0.01381934372776751
56,0.00023331484647731314,0.013819408182540054
57,0.00023329897216964934,0.013818932265467475
58,0.00023330922139085661,0.013819239542366408
59,0.00023331355232679142,0.01381936938406425
60,0.0002333126714564492,0.013819342975618107
61,0.0002333063180106531,0.013819152498209843
62,0.0002332999668999245,0.013818962088278862
63,0.0002333081524571381,0.013819207495493788
64,0.0002333017040188734,0.013819014168349337
65,0.0002333097280859896,0.013819254733175121
66,0.0002333144061657334,0.013819394982064035
67,0.0002333076775962502,0.013819193259034895
68,0.0002332988063347037,0.013818927293596782
69,0.00023331069288609827,0.013819283658006639
70,0.0002333129336598562,0.013819350836467426
71,0.00023330024647095723,0.013818970470031462
72,0.00023331178586986256,0.013819316425730189
73,0.0002333152465433301,0.01381942017644952
74,0.00023331524289474484,0.013819420067065616
75,0.00023329857328246236,0.013818920306492299
76,0.00023330025148595706,0.013818970620384936
77,0.00023331119590297002,0.013819298738494105
78,0.0002333037057887779,0.013819074182610509
79,0.00023330672827157368,0.01381916479797989
80,0.0002332968389062519,0.013818868308310917
81,0.00023330721612974294,0.013819179424129647
82,0.00023329785003210865,0.013818898622809656
83,0.00023331300345721376,0.01381935292898913
84,0.00023331138847504577,0.013819304511816686
85,0.00023331269155740623,0.013819343578244275
86,0.00023331220353027397,0.013819328947196414
87,0.00023331474712884207,0.01381940520408865
88,0.0002332983588235491,0.013818913876828603
89,0.00023330026896895326,0.013818971144538315
90,0.0002333118545430549,0.013819318484554411
91,0.00023330184084475555,0.013819018270479265
92,0.00023330656936976183,0.013819160034047633
93,0.00023330631050571843,0.0138191522732091
94,0.00023331368709954202,0.013819373424539875
95,0.00023329908412026193,0.01381893562183972
96,0.00023329666210500857,0.013818863007637723
97,0.00023331457585053637,0.013819400069190763
98,0.0002333113566464628,0.013819303557593985
99,0.0002333069743400613,0.013819172175196643
