,0,1,2,Escala mean,Escala std
2004-06-01,0.0000,0.0000,1.0000,5.0000,
2004-07-01,,,,,
2004-08-01,,,,,
2004-09-01,,,,,
2004-10-01,,,,,
2004-11-01,,,,,
2004-12-01,,,,,
2005-01-01,,,,,
2005-02-01,,,,,
2005-03-01,,,,,
2005-04-01,,,,,
2005-05-01,,,,,
2005-06-01,,,,,
2005-07-01,,,,,
2005-08-01,,,,,
2005-09-01,,,,,
2005-10-01,,,,,
2005-11-01,,,,,
2005-12-01,,,,,
2006-01-01,,,,,
2006-02-01,,,,,
2006-03-01,,,,,
2006-04-01,,,,,
2006-05-01,,,,,
2006-06-01,,,,,
2006-07-01,,,,,
2006-08-01,,,,,
2006-09-01,,,,,
2006-10-01,,,,,
2006-11-01,,,,,
2006-12-01,,,,,
2007-01-01,,,,,
2007-02-01,,,,,
2007-03-01,,,,,
2007-04-01,,,,,
2007-05-01,,,,,
2007-06-01,,,,,
2007-07-01,,,,,
2007-08-01,,,,,
2007-09-01,,,,,
2007-10-01,,,,,
2007-11-01,,,,,
2007-12-01,,,,,
2008-01-01,,,,,
2008-02-01,,,,,
2008-03-01,,,,,
2008-04-01,,,,,
2008-05-01,,,,,
2008-06-01,,,,,
2008-07-01,,,,,
2008-08-01,,,,,
2008-09-01,,,,,
2008-10-01,,,,,
2008-11-01,,,,,
2008-12-01,,,,,
2009-01-01,,,,,
2009-02-01,,,,,
2009-03-01,,,,,
2009-04-01,,,,,
2009-05-01,,,,,
2009-06-01,,,,,
2009-07-01,,,,,
2009-08-01,,,,,
2009-09-01,,,,,
2009-10-01,,,,,
2009-11-01,,,,,
2009-12-01,,,,,
2010-01-01,,,,,
2010-02-01,,,,,
2010-03-01,0.0000,0.0000,1.0000,4.0000,
2010-04-01,0.0000,0.0000,1.0000,4.0000,
2010-05-01,,,,,
2010-06-01,,,,,
2010-07-01,,,,,
2010-08-01,,,,,
2010-09-01,,,,,
2010-10-01,,,,,
2010-11-01,,,,,
2010-12-01,,,,,
2011-01-01,,,,,
2011-02-01,,,,,
2011-03-01,,,,,
2011-04-01,0.0000,0.0000,1.0000,5.0000,
2011-05-01,,,,,
2011-06-01,,,,,
2011-07-01,,,,,
2011-08-01,,,,,
2011-09-01,,,,,
2011-10-01,0.0000,0.0000,1.0000,5.0000,
2011-11-01,0.0000,0.0000,1.0000,4.8000,0.4472
2011-12-01,0.0000,0.0000,1.0000,5.0000,0.0000
2012-01-01,0.0000,0.1111,0.8889,4.5556,0.7265
2012-02-01,0.0000,0.0000,1.0000,4.6667,0.5000
2012-03-01,0.0000,0.0833,0.9167,4.4167,0.6686
2012-04-01,0.0000,0.0500,0.9500,4.6500,0.5871
2012-05-01,0.0000,0.2000,0.8000,4.4000,0.8944
2012-06-01,0.0000,0.0000,1.0000,4.7143,0.4880
2012-07-01,0.0000,0.0526,0.9474,4.4737,0.6118
2012-08-01,0.0000,0.0769,0.9231,4.6923,0.6304
2012-09-01,0.0000,0.0000,1.0000,4.7500,0.5000
2012-10-01,0.0000,0.0000,1.0000,4.7778,0.4410
2012-11-01,0.0000,0.1000,0.9000,4.6000,0.6992
2012-12-01,0.0000,0.0000,1.0000,4.8333,0.4082
2013-01-01,0.0909,0.1818,0.7273,4.1818,1.0787
2013-02-01,0.0000,0.0000,1.0000,4.8333,0.4082
2013-03-01,0.0000,0.0000,1.0000,4.8333,0.3892
2013-04-01,0.0000,0.0000,1.0000,4.7143,0.4880
2013-05-01,0.0000,0.0000,1.0000,4.5556,0.5270
2013-06-01,0.0000,0.0000,1.0000,5.0000,0.0000
2013-07-01,0.0000,0.0000,1.0000,4.7500,0.4629
2013-08-01,0.0000,0.0000,1.0000,4.2000,0.4472
2013-09-01,0.0000,0.0000,1.0000,4.6364,0.5045
2013-10-01,0.0000,0.0000,1.0000,4.7500,0.4523
2013-11-01,0.0000,0.0000,1.0000,5.0000,0.0000
2013-12-01,0.0000,0.0000,1.0000,4.8571,0.3780
2014-01-01,0.0000,0.0000,1.0000,4.5000,0.5345
2014-02-01,0.0000,0.0000,1.0000,4.6364,0.5045
2014-03-01,0.0000,0.1429,0.8571,4.5714,0.7559
2014-04-01,0.0000,0.0000,1.0000,4.6000,0.5477
2014-05-01,0.0000,0.0000,1.0000,4.5000,0.5477
2014-06-01,0.0000,0.0000,1.0000,5.0000,0.0000
2014-07-01,0.0000,0.0000,1.0000,4.6923,0.4804
2014-08-01,0.0000,0.0667,0.9333,4.4667,0.6399
2014-09-01,0.0000,0.0000,1.0000,4.5000,0.5222
2014-10-01,0.0000,0.0000,1.0000,4.5714,0.5136
2014-11-01,0.0000,0.0909,0.9091,4.5455,0.6876
2014-12-01,0.0000,0.0000,1.0000,4.6923,0.4804
