,0,1,2,Escala mean,Escala std
2003-08-01,0.0000,0.0000,1.0000,4.0000,
2003-09-01,,,,,
2003-10-01,,,,,
2003-11-01,,,,,
2003-12-01,,,,,
2004-01-01,,,,,
2004-02-01,,,,,
2004-03-01,,,,,
2004-04-01,,,,,
2004-05-01,,,,,
2004-06-01,,,,,
2004-07-01,,,,,
2004-08-01,,,,,
2004-09-01,,,,,
2004-10-01,,,,,
2004-11-01,,,,,
2004-12-01,,,,,
2005-01-01,,,,,
2005-02-01,,,,,
2005-03-01,,,,,
2005-04-01,,,,,
2005-05-01,,,,,
2005-06-01,,,,,
2005-07-01,,,,,
2005-08-01,,,,,
2005-09-01,,,,,
2005-10-01,,,,,
2005-11-01,,,,,
2005-12-01,,,,,
2006-01-01,,,,,
2006-02-01,,,,,
2006-03-01,,,,,
2006-04-01,,,,,
2006-05-01,,,,,
2006-06-01,,,,,
2006-07-01,,,,,
2006-08-01,,,,,
2006-09-01,,,,,
2006-10-01,,,,,
2006-11-01,,,,,
2006-12-01,,,,,
2007-01-01,,,,,
2007-02-01,,,,,
2007-03-01,,,,,
2007-04-01,,,,,
2007-05-01,,,,,
2007-06-01,,,,,
2007-07-01,,,,,
2007-08-01,,,,,
2007-09-01,,,,,
2007-10-01,,,,,
2007-11-01,,,,,
2007-12-01,,,,,
2008-01-01,,,,,
2008-02-01,,,,,
2008-03-01,,,,,
2008-04-01,,,,,
2008-05-01,,,,,
2008-06-01,,,,,
2008-07-01,,,,,
2008-08-01,,,,,
2008-09-01,,,,,
2008-10-01,,,,,
2008-11-01,,,,,
2008-12-01,,,,,
2009-01-01,,,,,
2009-02-01,0.0000,0.0000,1.0000,4.0000,
2009-03-01,,,,,
2009-04-01,,,,,
2009-05-01,,,,,
2009-06-01,,,,,
2009-07-01,,,,,
2009-08-01,,,,,
2009-09-01,,,,,
2009-10-01,,,,,
2009-11-01,,,,,
2009-12-01,,,,,
2010-01-01,,,,,
2010-02-01,,,,,
2010-03-01,0.0000,0.0000,1.0000,4.0000,
2010-04-01,0.0000,0.0000,1.0000,4.0000,
2010-05-01,,,,,
2010-06-01,,,,,
2010-07-01,,,,,
2010-08-01,,,,,
2010-09-01,0.0000,0.0000,1.0000,4.0000,
2010-10-01,,,,,
2010-11-01,,,,,
2010-12-01,,,,,
2011-01-01,,,,,
2011-02-01,,,,,
2011-03-01,0.0000,0.5000,0.5000,3.5000,0.7071
2011-04-01,0.0000,0.0000,1.0000,5.0000,
2011-05-01,,,,,
2011-06-01,,,,,
2011-07-01,,,,,
2011-08-01,,,,,
2011-09-01,,,,,
2011-10-01,0.0000,1.0000,0.0000,3.0000,
2011-11-01,0.0000,0.0000,1.0000,5.0000,0.0000
2011-12-01,0.0000,0.0000,1.0000,4.0000,0.0000
2012-01-01,0.0000,0.2000,0.8000,4.2000,0.8367
2012-02-01,0.0000,0.0000,1.0000,4.5000,0.5774
2012-03-01,0.0000,0.2500,0.7500,4.2500,0.9574
2012-04-01,0.0000,0.3077,0.6923,4.0000,0.8165
2012-05-01,0.0000,0.3333,0.6667,4.0000,1.0000
2012-06-01,0.1667,0.1667,0.6667,3.6667,1.0328
2012-07-01,0.0000,0.1000,0.9000,4.5000,0.7071
2012-08-01,0.0000,0.0000,1.0000,4.6667,0.5774
2012-09-01,0.0000,0.3333,0.6667,4.3333,1.1547
2012-10-01,0.0000,0.0000,1.0000,4.5000,0.5774
2012-11-01,0.0000,0.0000,1.0000,4.6667,0.5774
2012-12-01,0.0000,0.3333,0.6667,4.0000,0.8944
2013-01-01,0.0000,0.0769,0.9231,4.3077,0.6304
2013-02-01,0.0000,0.2500,0.7500,4.0000,0.8165
